benchmark,throughput,latency
osv-results-r0.03125.txt,782.3967359108077,23.20116666769229
osv-results-r0.0625.txt,932.62328902726,0.5098069896207532
osv-results-r0.125.txt,473.6452591827687,0.47530138000552974
osv-results-r0.25.txt,238.48906000622645,0.4357588516578178
osv-results-r0.5.txt,119.32740513207264,0.41868615779645196
osv-results-r1.txt,59.997212775629286,0.4166944444444445
osv-results-r2.txt,29.99855496687602,0.4688888888888891
osv-results-r4.txt,14.999199226301549,0.4706666666666668
podman-results-r0.25.txt,222.6555222740031,7.820742153679653
podman-results-r0.5.txt,119.32774807204517,1.134098039215686
podman-results-r1.txt,59.99685222916547,0.9364444444444443
podman-results-r2.txt,29.99836288757621,1.0112222222222222
podman-results-r4.txt,14.999150699156841,0.979111111111111
process-results-r0.0078125.txt,6262.405536553752,0.0001577914948183555
process-results-r0.015625.txt,3445.8491397989587,1.3544237054728509e-05
process-results-r0.03125.txt,1814.915375006284,7.346189164370983e-06
process-results-r0.0625.txt,936.9617198409422,0.0
process-results-r0.125.txt,473.64537121572596,0.0
process-results-r0.25.txt,238.9871449189288,0.0
process-results-r0.5.txt,118.99452743416684,0.0
process-results-r1.txt,59.99688867855446,0.0
process-results-r2.txt,29.998628071167214,0.0
process-results-r4.txt,14.999236647616513,0.0
rust-results-r0.03125.txt,863.8044247756866,24.605343685391517
rust-results-r0.0625.txt,689.3044873277371,15.7339316878012
rust-results-r0.125.txt,463.962861242709,4.975141464761023
rust-results-r0.25.txt,222.1523386811362,0.9141411560122168
rust-results-r0.5.txt,119.32798037886735,0.6158785014005603
rust-results-r1.txt,59.997543137790146,0.6150833333333333
rust-results-r2.txt,29.998677275996453,0.6462777777777777
rust-results-r4.txt,14.999298747869002,0.6233333333333333
